"variable","percent.contribution","permutation.importance","ImpRank","PercContRank","modnr"
"meanbathy",0.397,1.1865,14,15,4
"fastIceRatio",0.0886,0.1638,15,16,4
"PredictabilityDec5Years",0,0,17,17,4
"cont800dist",22.8943,19.5768,2,1,4
"cont300dist",21.0195,21.9497,1,2,4
"EMPEdist",15.9145,16.0174,3,3,4
"distToShore",9.7668,10.085,4,4,4
"ADPEdist",5.5381,1.1865,11,5,4
"EMPEabund",5.4507,5.9324,6,6,4
"Persistence2Years",4.3967,6.5256,5,7,4
"PredictabilityOct5Years",3.5756,1.1865,13,8,4
"distNearestIceEdge",3.2996,5.9324,7,9,4
"DecemberIcePresence",3.0072,1.1865,12,10,4
"InTrough",2.1346,0,16,11,4
"glacierdist",1.1425,3.7321,9,12,4
"meanslope",0.8696,4.1526,8,13,4
"ADPEabund",0.5049,1.1865,10,14,4
"meanbathy",0.397,1.1865,14,15,4
"fastIceRatio",0.0886,0.1638,15,16,4
"PredictabilityDec5Years",0,0,17,17,4
"cont300dist",23.0934,15.6951,2,1,5
"cont800dist",20.8105,22.87,1,2,5
"distToShore",14.2755,8.5202,4,3,5
"EMPEabund",14.1495,4.9327,9,4,5
"EMPEdist",7.3513,12.1076,3,5,5
"distNearestIceEdge",6.3363,7.1749,6,6,5
"Persistence2Years",5.8438,7.1749,5,7,5
"PredictabilityOct5Years",2.215,6.278,7,8,5
"meanslope",1.2998,6.278,8,9,5
"meanbathy",1.2559,0.4484,13,10,5
"fastIceRatio",1.2082,0,17,11,5
"ADPEabund",1.0386,2.2422,11,12,5
"glacierdist",0.6396,2.2422,12,13,5
"ADPEdist",0.4824,4.0359,10,14,5
"DecemberIcePresence",0,0,14,15,5
"InTrough",0,0,15,16,5
"PredictabilityDec5Years",0,0,16,17,5
"cont300dist",24.7612,21.6867,2,1,6
"cont800dist",23.3758,22.8916,1,2,6
"EMPEdist",16.6731,13.8554,3,3,6
"distToShore",9.0995,6.6265,5,4,6
"EMPEabund",5.9497,6.0241,6,5,6
"ADPEdist",4.8721,7.2289,4,6,6
"Persistence2Years",4.4266,5.4217,7,7,6
"distNearestIceEdge",3.6708,3.012,9,8,6
"PredictabilityOct5Years",3.0451,4.8193,8,9,6
"glacierdist",1.1227,1.8072,12,10,6
"DecemberIcePresence",0.9072,0,15,11,6
"InTrough",0.6558,1.2048,13,12,6
"fastIceRatio",0.6042,1.8072,11,13,6
"ADPEabund",0.5109,2.4096,10,14,6
"meanslope",0.3248,1.2048,14,15,6
"meanbathy",4e-04,0,17,16,6
"PredictabilityDec5Years",0,0,16,17,6
"cont300dist",24.7612,21.9653,1,1,7
"cont800dist",23.3758,19.0751,2,2,7
"EMPEdist",16.6731,15.6069,3,3,7
"distToShore",9.0995,9.2486,4,4,7
"EMPEabund",5.9497,4.6243,7,5,7
"ADPEdist",4.8721,5.7803,5,6,7
"Persistence2Years",4.4266,5.2023,6,7,7
"distNearestIceEdge",3.6708,4.0462,9,8,7
"PredictabilityOct5Years",3.0451,4.6243,8,9,7
"glacierdist",1.1227,2.3121,10,10,7
"DecemberIcePresence",0.9072,1.1561,14,11,7
"InTrough",0.6558,1.1561,15,12,7
"fastIceRatio",0.6042,1.7341,12,13,7
"ADPEabund",0.5109,1.7341,11,14,7
"meanslope",0.3248,1.7341,13,15,7
"meanbathy",4e-04,0,17,16,7
"PredictabilityDec5Years",0,0,16,17,7
"cont300dist",19.6073,19.3815,2,1,8
"fastIceRatio",18.5067,1.1401,15,2,8
"EMPEdist",18.1854,15.9612,3,3,8
"cont800dist",18.1762,24.5118,1,4,8
"distToShore",7.3122,9.6907,4,5,8
"ADPEdist",3.3245,1.7101,9,6,8
"PredictabilityOct5Years",2.8098,5.7004,6,7,8
"EMPEabund",2.4018,4.5603,7,8,8
"distNearestIceEdge",2.4004,3.4203,8,9,8
"Persistence2Years",2.103,5.7515,5,10,8
"meanslope",1.7346,1.7101,12,11,8
"ADPEabund",1.6034,1.1401,14,12,8
"glacierdist",0.8317,0.57,16,13,8
"DecemberIcePresence",0.5072,1.7101,10,14,8
"InTrough",0.4225,1.7101,11,15,8
"PredictabilityDec5Years",0.0734,1.3315,13,16,8
"meanbathy",0,0,17,17,8
"cont800dist",22.8943,24.1788,1,1,9
"cont300dist",21.0195,17.9791,2,2,9
"EMPEdist",15.9145,14.8792,3,3,9
"distToShore",9.7668,9.2995,4,4,9
"ADPEdist",5.5381,0.62,12,5,9
"EMPEabund",5.4507,6.8197,6,6,9
"Persistence2Years",4.3967,4.3398,8,7,9
"PredictabilityOct5Years",3.5756,2.4799,10,8,9
"distNearestIceEdge",3.2996,8.0596,5,9,9
"DecemberIcePresence",3.0072,0.62,13,10,9
"InTrough",2.1346,0.62,14,11,9
"glacierdist",1.1425,5.1448,7,12,9
"meanslope",0.8696,3.0998,9,13,9
"ADPEabund",0.5049,0,15,14,9
"meanbathy",0.397,1.8599,11,15,9
"fastIceRatio",0.0886,0,17,16,9
"PredictabilityDec5Years",0,0,16,17,9
"cont800dist",23.1428,17.0616,2,1,10
"cont300dist",23.0613,20.3791,1,2,10
"EMPEdist",11.9798,15.1659,3,3,10
"Persistence2Years",11.2768,5.2133,7,4,10
"distToShore",8.9947,7.5829,4,5,10
"ADPEdist",4.307,6.1611,5,6,10
"PredictabilityOct5Years",4.2412,3.3175,10,7,10
"distNearestIceEdge",4.0225,4.7393,8,8,10
"EMPEabund",3.7739,6.1611,6,9,10
"glacierdist",1.7155,2.3697,13,10,10
"fastIceRatio",1.2138,3.7915,9,11,10
"ADPEabund",1.1951,2.3697,11,12,10
"meanslope",0.4271,1.8957,14,13,10
"meanbathy",0.3385,0.9479,15,14,10
"PredictabilityDec5Years",0.2504,2.3697,12,15,10
"DecemberIcePresence",0.0597,0.4739,16,16,10
"InTrough",0,0,17,17,10
"cont300dist",23.0934,19.3717,2,1,11
"cont800dist",20.8105,21.9895,1,2,11
"distToShore",14.2755,5.7592,6,3,11
"EMPEabund",14.1495,5.2356,8,4,11
"EMPEdist",7.3513,14.6597,3,5,11
"distNearestIceEdge",6.3363,7.8534,4,6,11
"Persistence2Years",5.8438,5.7592,5,7,11
"PredictabilityOct5Years",2.215,4.712,9,8,11
"meanslope",1.2998,4.1885,10,9,11
"meanbathy",1.2559,1.0471,12,10,11
"fastIceRatio",1.2082,0.5236,14,11,11
"ADPEabund",1.0386,0,15,12,11
"glacierdist",0.6396,3.1414,11,13,11
"ADPEdist",0.4824,5.2356,7,14,11
"PredictabilityDec5Years",0,0.5236,13,15,11
"DecemberIcePresence",0,0,16,16,11
"InTrough",0,0,17,17,11
"cont300dist",24.7612,18.4358,2,1,12
"cont800dist",23.3758,24.581,1,2,12
"EMPEdist",16.6731,15.0838,3,3,12
"distToShore",9.0995,12.2905,4,4,12
"EMPEabund",5.9497,5.0279,6,5,12
"ADPEdist",4.8721,5.0279,5,6,12
"Persistence2Years",4.4266,5.0279,7,7,12
"distNearestIceEdge",3.6708,4.4693,8,8,12
"PredictabilityOct5Years",3.0451,3.9106,9,9,12
"glacierdist",1.1227,2.2346,10,10,12
"DecemberIcePresence",0.9072,1.1173,11,11,12
"InTrough",0.6558,1.1173,12,12,12
"fastIceRatio",0.6042,1.1173,13,13,12
"ADPEabund",0.5109,0.5587,14,14,12
"meanslope",0.3248,0,17,15,12
"meanbathy",4e-04,0,16,16,12
"PredictabilityDec5Years",0,0,15,17,12
"cont800dist",22.8943,23.6,1,1,13
"cont300dist",21.0195,16.3755,2,2,13
"EMPEdist",15.9145,12.5225,4,3,13
"distToShore",9.7668,13.4857,3,4,13
"ADPEdist",5.5381,2.4082,10,5,13
"EMPEabund",5.4507,7.2245,5,6,13
"Persistence2Years",4.3967,5.7796,6,7,13
"PredictabilityOct5Years",3.5756,3.3714,8,8,13
"distNearestIceEdge",3.2996,5.7796,7,9,13
"DecemberIcePresence",3.0072,0.9633,13,10,13
"InTrough",2.1346,0.4816,15,11,13
"glacierdist",1.1425,2.0667,11,12,13
"meanslope",0.8696,2.9186,9,13,13
"ADPEabund",0.5049,1.9265,12,14,13
"meanbathy",0.397,0.9633,14,15,13
"fastIceRatio",0.0886,0.133,16,16,13
"PredictabilityDec5Years",0,0,17,17,13
"cont800dist",22.8943,19.2968,1,1,14
"cont300dist",21.0195,18.2247,2,2,14
"EMPEdist",15.9145,14.4726,4,3,14
"distToShore",9.7668,15.0086,3,4,14
"ADPEdist",5.5381,3.2161,9,5,14
"EMPEabund",5.4507,8.0403,5,6,14
"Persistence2Years",4.3967,5.8962,7,7,14
"PredictabilityOct5Years",3.5756,1.6081,11,8,14
"distNearestIceEdge",3.2996,6.4323,6,9,14
"DecemberIcePresence",3.0072,0,16,10,14
"InTrough",2.1346,0.536,14,11,14
"glacierdist",1.1425,1.7601,10,12,14
"meanslope",0.8696,3.7522,8,13,14
"ADPEabund",0.5049,0.536,13,14,14
"meanbathy",0.397,1.072,12,15,14
"fastIceRatio",0.0886,0.148,15,16,14
"PredictabilityDec5Years",0,0,17,17,14
"cont800dist",28.4038,8.9041,5,1,15
"cont300dist",16.2236,22.6027,1,2,15
"EMPEdist",16.1761,13.6986,2,3,15
"ADPEdist",9.0022,6.1644,6,4,15
"distToShore",8.2127,11.6438,3,5,15
"PredictabilityOct5Years",7.0689,10.274,4,6,15
"EMPEabund",3.0964,2.7397,9,7,15
"fastIceRatio",2.9652,2.7397,10,8,15
"distNearestIceEdge",2.4153,6.1644,7,9,15
"ADPEabund",1.9924,1.3699,14,10,15
"meanslope",1.8424,6.1644,8,11,15
"glacierdist",1.4461,2.7397,11,12,15
"Persistence2Years",0.7283,2.0548,13,13,15
"DecemberIcePresence",0.4026,2.0548,12,14,15
"meanbathy",0.024,0.6849,15,15,15
"InTrough",0,0,16,16,15
"PredictabilityDec5Years",0,0,17,17,15
"cont300dist",24.7612,20.2381,2,1,16
"cont800dist",23.3758,24.4048,1,2,16
"EMPEdist",16.6731,17.2619,3,3,16
"distToShore",9.0995,8.3333,4,4,16
"EMPEabund",5.9497,4.1667,8,5,16
"ADPEdist",4.8721,2.381,10,6,16
"Persistence2Years",4.4266,4.7619,6,7,16
"distNearestIceEdge",3.6708,5.9524,5,8,16
"PredictabilityOct5Years",3.0451,4.7619,7,9,16
"glacierdist",1.1227,2.9762,9,10,16
"DecemberIcePresence",0.9072,1.1905,13,11,16
"InTrough",0.6558,0,15,12,16
"fastIceRatio",0.6042,1.7857,11,13,16
"ADPEabund",0.5109,1.1905,12,14,16
"meanslope",0.3248,0.5952,14,15,16
"meanbathy",4e-04,0,17,16,16
"PredictabilityDec5Years",0,0,16,17,16
"cont800dist",23.1428,19.469,1,1,17
"cont300dist",23.0613,18.5841,2,2,17
"EMPEdist",11.9798,15.0442,3,3,17
"Persistence2Years",11.2768,4.4248,6,4,17
"distToShore",8.9947,10.6195,4,5,17
"ADPEdist",4.307,3.5398,9,6,17
"PredictabilityOct5Years",4.2412,4.4248,7,7,17
"distNearestIceEdge",4.0225,4.4248,8,8,17
"EMPEabund",3.7739,5.7522,5,9,17
"glacierdist",1.7155,3.5398,11,10,17
"fastIceRatio",1.2138,3.5398,10,11,17
"ADPEabund",1.1951,2.6549,12,12,17
"meanslope",0.4271,2.2124,13,13,17
"meanbathy",0.3385,0.885,15,14,17
"PredictabilityDec5Years",0.2504,0,17,15,17
"DecemberIcePresence",0.0597,0.885,14,16,17
"InTrough",0,0,16,17,17
"cont300dist",24.7612,20.122,2,1,18
"cont800dist",23.3758,20.7317,1,2,18
"EMPEdist",16.6731,16.4634,3,3,18
"distToShore",9.0995,12.8049,4,4,18
"EMPEabund",5.9497,4.878,6,5,18
"ADPEdist",4.8721,4.878,5,6,18
"Persistence2Years",4.4266,3.0488,9,7,18
"distNearestIceEdge",3.6708,4.878,8,8,18
"PredictabilityOct5Years",3.0451,4.878,7,9,18
"glacierdist",1.1227,1.2195,13,10,18
"DecemberIcePresence",0.9072,1.2195,12,11,18
"InTrough",0.6558,0.6098,14,12,18
"fastIceRatio",0.6042,1.8293,11,13,18
"ADPEabund",0.5109,0,15,14,18
"meanslope",0.3248,2.439,10,15,18
"meanbathy",4e-04,0,17,16,18
"PredictabilityDec5Years",0,0,16,17,18
"cont800dist",22.8943,20.9065,1,1,19
"cont300dist",21.0195,18.2262,2,2,19
"EMPEdist",15.9145,11.7934,3,3,19
"distToShore",9.7668,10.1852,4,4,19
"ADPEdist",5.5381,6.4328,5,5,19
"EMPEabund",5.4507,6.4328,6,6,19
"Persistence2Years",4.3967,5.3606,8,7,19
"PredictabilityOct5Years",3.5756,4.8246,9,8,19
"distNearestIceEdge",3.2996,6.4328,7,9,19
"DecemberIcePresence",3.0072,1.6082,12,10,19
"InTrough",2.1346,0.5361,15,11,19
"glacierdist",1.1425,1.7522,11,12,19
"meanslope",0.8696,3.2164,10,13,19
"ADPEabund",0.5049,1.0721,13,14,19
"meanbathy",0.397,1.0721,14,15,19
"fastIceRatio",0.0886,0.148,16,16,19
"PredictabilityDec5Years",0,0,17,17,19
"cont800dist",22.8943,20.1651,2,1,20
"cont300dist",21.0195,20.7413,1,2,20
"EMPEdist",15.9145,16.7082,3,3,20
"distToShore",9.7668,12.0991,4,4,20
"ADPEdist",5.5381,0.5761,13,5,20
"EMPEabund",5.4507,3.4569,9,6,20
"Persistence2Years",4.3967,5.1853,6,7,20
"PredictabilityOct5Years",3.5756,4.6092,8,8,20
"distNearestIceEdge",3.2996,6.3376,5,9,20
"DecemberIcePresence",3.0072,0,16,10,20
"InTrough",2.1346,0.5761,14,11,20
"glacierdist",1.1425,2.4723,10,12,20
"meanslope",0.8696,5.1853,7,13,20
"ADPEabund",0.5049,0.5761,12,14,20
"meanbathy",0.397,1.1523,11,15,20
"fastIceRatio",0.0886,0.1591,15,16,20
"PredictabilityDec5Years",0,0,17,17,20
"cont300dist",25.2971,21.423,1,1,21
"cont800dist",20.5098,15.7137,3,2,21
"EMPEdist",16.281,18.6207,2,3,21
"distToShore",11.3589,11.4797,4,4,21
"ADPEdist",6.6975,2.7062,10,5,21
"PredictabilityOct5Years",5.0617,4.6661,8,6,21
"Persistence2Years",3.6333,5.526,6,7,21
"EMPEabund",1.9728,4.6966,7,8,21
"fastIceRatio",1.8074,1.7547,11,9,21
"glacierdist",1.7926,0.7333,14,10,21
"meanslope",1.7112,6.4251,5,11,21
"distNearestIceEdge",1.5873,2.9419,9,12,21
"PredictabilityDec5Years",0.806,0.5718,15,13,21
"ADPEabund",0.6926,1.1785,12,14,21
"InTrough",0.4636,0.5631,16,15,21
"DecemberIcePresence",0.3272,0.9996,13,16,21
"meanbathy",0,0,17,17,21
"cont300dist",23.0934,16,2,1,22
"cont800dist",20.8105,21.3333,1,2,22
"distToShore",14.2755,7.1111,6,3,22
"EMPEabund",14.1495,4,9,4,22
"EMPEdist",7.3513,12.8889,3,5,22
"distNearestIceEdge",6.3363,7.1111,5,6,22
"Persistence2Years",5.8438,7.5556,4,7,22
"PredictabilityOct5Years",2.215,4.8889,8,8,22
"meanslope",1.2998,5.7778,7,9,22
"meanbathy",1.2559,0.4444,15,10,22
"fastIceRatio",1.2082,1.7778,14,11,22
"ADPEabund",1.0386,2.6667,11,12,22
"glacierdist",0.6396,3.1111,10,13,22
"ADPEdist",0.4824,2.6667,12,14,22
"PredictabilityDec5Years",0,2.6667,13,15,22
"DecemberIcePresence",0,0,16,16,22
"InTrough",0,0,17,17,22
"cont300dist",22.8726,12.7854,2,1,23
"cont800dist",20.9449,21.9178,1,2,23
"distToShore",14.3506,6.3927,7,3,23
"EMPEabund",14.1787,6.3927,6,4,23
"EMPEdist",7.2785,11.8721,3,5,23
"distNearestIceEdge",6.3686,5.4795,8,6,23
"Persistence2Years",5.8736,9.589,4,7,23
"PredictabilityOct5Years",2.2263,3.1963,10,8,23
"meanslope",1.2818,8.2192,5,9,23
"meanbathy",1.2623,0.4566,15,10,23
"fastIceRatio",1.2144,2.2831,13,11,23
"ADPEabund",1.0463,2.7397,11,12,23
"glacierdist",0.6495,2.7397,12,13,23
"ADPEdist",0.4153,4.5662,9,14,23
"InTrough",0.0366,0,17,15,23
"PredictabilityDec5Years",0,1.3699,14,16,23
"DecemberIcePresence",0,0,16,17,23
"cont300dist",22.8726,17.9916,2,1,24
"cont800dist",20.9449,22.1757,1,2,24
"distToShore",14.3506,8.7866,4,3,24
"EMPEabund",14.1787,3.3473,9,4,24
"EMPEdist",7.2785,12.5523,3,5,24
"distNearestIceEdge",6.3686,6.2762,6,6,24
"Persistence2Years",5.8736,7.9498,5,7,24
"PredictabilityOct5Years",2.2263,3.3473,10,8,24
"meanslope",1.2818,5.4393,7,9,24
"meanbathy",1.2623,0.8368,16,10,24
"fastIceRatio",1.2144,1.6736,12,11,24
"ADPEabund",1.0463,1.2552,14,12,24
"glacierdist",0.6495,1.6736,13,13,24
"ADPEdist",0.4153,3.7657,8,14,24
"InTrough",0.0366,1.2552,15,15,24
"PredictabilityDec5Years",0,1.6736,11,16,24
"DecemberIcePresence",0,0,17,17,24
"cont300dist",23.0934,16.6667,2,1,25
"cont800dist",20.8105,20.7207,1,2,25
"distToShore",14.2755,12.1622,3,3,25
"EMPEabund",14.1495,6.7568,5,4,25
"EMPEdist",7.3513,9.9099,4,5,25
"distNearestIceEdge",6.3363,6.3063,6,6,25
"Persistence2Years",5.8438,5.4054,7,7,25
"PredictabilityOct5Years",2.215,4.0541,10,8,25
"meanslope",1.2998,5.4054,8,9,25
"meanbathy",1.2559,0.4505,15,10,25
"fastIceRatio",1.2082,2.7027,11,11,25
"ADPEabund",1.0386,1.8018,13,12,25
"glacierdist",0.6396,2.2523,12,13,25
"ADPEdist",0.4824,4.5045,9,14,25
"PredictabilityDec5Years",0,0.9009,14,15,25
"DecemberIcePresence",0,0,16,16,25
"InTrough",0,0,17,17,25
"cont300dist",24.7612,16.7742,2,1,26
"cont800dist",23.3758,20,1,2,26
"EMPEdist",16.6731,14.8387,3,3,26
"distToShore",9.0995,12.2581,4,4,26
"EMPEabund",5.9497,9.0323,5,5,26
"ADPEdist",4.8721,2.5806,9,6,26
"Persistence2Years",4.4266,7.7419,6,7,26
"distNearestIceEdge",3.6708,4.5161,8,8,26
"PredictabilityOct5Years",3.0451,4.5161,7,9,26
"glacierdist",1.1227,1.9355,12,10,26
"DecemberIcePresence",0.9072,1.9355,10,11,26
"InTrough",0.6558,0,15,12,26
"fastIceRatio",0.6042,1.9355,11,13,26
"ADPEabund",0.5109,0,14,14,26
"meanslope",0.3248,1.9355,13,15,26
"meanbathy",4e-04,0,17,16,26
"PredictabilityDec5Years",0,0,16,17,26
"cont300dist",24.7612,14.7436,3,1,27
"cont800dist",23.3758,21.7949,1,2,27
"EMPEdist",16.6731,19.2308,2,3,27
"distToShore",9.0995,7.6923,5,4,27
"EMPEabund",5.9497,8.3333,4,5,27
"ADPEdist",4.8721,5.7692,7,6,27
"Persistence2Years",4.4266,6.4103,6,7,27
"distNearestIceEdge",3.6708,4.4872,8,8,27
"PredictabilityOct5Years",3.0451,3.2051,10,9,27
"glacierdist",1.1227,3.8462,9,10,27
"DecemberIcePresence",0.9072,0.641,13,11,27
"InTrough",0.6558,0,15,12,27
"fastIceRatio",0.6042,1.2821,12,13,27
"ADPEabund",0.5109,1.9231,11,14,27
"meanslope",0.3248,0.641,14,15,27
"meanbathy",4e-04,0,17,16,27
"PredictabilityDec5Years",0,0,16,17,27
"cont300dist",24.7612,16.7598,2,1,28
"cont800dist",23.3758,21.7877,1,2,28
"EMPEdist",16.6731,15.6425,3,3,28
"distToShore",9.0995,13.9665,4,4,28
"EMPEabund",5.9497,3.352,8,5,28
"ADPEdist",4.8721,2.7933,10,6,28
"Persistence2Years",4.4266,3.9106,7,7,28
"distNearestIceEdge",3.6708,2.7933,11,8,28
"PredictabilityOct5Years",3.0451,7.2626,5,9,28
"glacierdist",1.1227,5.0279,6,10,28
"DecemberIcePresence",0.9072,2.2346,12,11,28
"InTrough",0.6558,0,14,12,28
"fastIceRatio",0.6042,1.676,13,13,28
"ADPEabund",0.5109,2.7933,9,14,28
"meanslope",0.3248,0,17,15,28
"meanbathy",4e-04,0,16,16,28
"PredictabilityDec5Years",0,0,15,17,28
"cont300dist",24.7612,21.6374,1,1,29
"cont800dist",23.3758,15.2047,2,2,29
"EMPEdist",16.6731,14.6199,3,3,29
"distToShore",9.0995,13.4503,4,4,29
"EMPEabund",5.9497,5.2632,7,5,29
"ADPEdist",4.8721,7.0175,5,6,29
"Persistence2Years",4.4266,4.6784,9,7,29
"distNearestIceEdge",3.6708,5.2632,8,8,29
"PredictabilityOct5Years",3.0451,5.848,6,9,29
"glacierdist",1.1227,0,16,10,29
"DecemberIcePresence",0.9072,1.7544,10,11,29
"InTrough",0.6558,1.7544,11,12,29
"fastIceRatio",0.6042,1.1696,13,13,29
"ADPEabund",0.5109,1.1696,12,14,29
"meanslope",0.3248,1.1696,14,15,29
"meanbathy",4e-04,0,17,16,29
"PredictabilityDec5Years",0,0,15,17,29
"cont800dist",22.8943,18.5408,1,1,30
"cont300dist",21.0195,15.0331,3,2,30
"EMPEdist",15.9145,15.5342,2,3,30
"distToShore",9.7668,13.0287,4,4,30
"ADPEdist",5.5381,3.0066,11,5,30
"EMPEabund",5.4507,6.0132,7,6,30
"Persistence2Years",4.3967,5.011,8,7,30
"PredictabilityOct5Years",3.5756,6.5143,5,8,30
"distNearestIceEdge",3.2996,6.5143,6,9,30
"DecemberIcePresence",3.0072,1.5033,12,10,30
"InTrough",2.1346,0.5011,14,11,30
"glacierdist",1.1425,3.6498,10,12,30
"meanslope",0.8696,4.0088,9,13,30
"ADPEabund",0.5049,0,16,14,30
"meanbathy",0.397,1.0022,13,15,30
"fastIceRatio",0.0886,0.1384,15,16,30
"PredictabilityDec5Years",0,0,17,17,30
"cont300dist",24.7612,19.6532,2,1,31
"cont800dist",23.3758,21.9653,1,2,31
"EMPEdist",16.6731,15.0289,3,3,31
"distToShore",9.0995,12.1387,4,4,31
"EMPEabund",5.9497,4.6243,7,5,31
"ADPEdist",4.8721,8.0925,5,6,31
"Persistence2Years",4.4266,5.7803,6,7,31
"distNearestIceEdge",3.6708,4.0462,8,8,31
"PredictabilityOct5Years",3.0451,1.1561,13,9,31
"glacierdist",1.1227,2.8902,9,10,31
"DecemberIcePresence",0.9072,1.1561,12,11,31
"InTrough",0.6558,0.578,14,12,31
"fastIceRatio",0.6042,1.7341,10,13,31
"ADPEabund",0.5109,1.1561,11,14,31
"meanslope",0.3248,0,17,15,31
"meanbathy",4e-04,0,16,16,31
"PredictabilityDec5Years",0,0,15,17,31
"cont300dist",24.7612,17.7215,3,1,32
"cont800dist",23.3758,22.1519,1,2,32
"EMPEdist",16.6731,18.3544,2,3,32
"distToShore",9.0995,9.4937,4,4,32
"EMPEabund",5.9497,6.3291,5,5,32
"ADPEdist",4.8721,4.4304,7,6,32
"Persistence2Years",4.4266,4.4304,8,7,32
"distNearestIceEdge",3.6708,3.1646,9,8,32
"PredictabilityOct5Years",3.0451,6.3291,6,9,32
"glacierdist",1.1227,1.2658,13,10,32
"DecemberIcePresence",0.9072,1.8987,10,11,32
"InTrough",0.6558,0.6329,14,12,32
"fastIceRatio",0.6042,1.8987,11,13,32
"ADPEabund",0.5109,1.2658,12,14,32
"meanslope",0.3248,0.6329,15,15,32
"meanbathy",4e-04,0,17,16,32
"PredictabilityDec5Years",0,0,16,17,32
"cont800dist",28.7187,12.7389,5,1,33
"cont300dist",16.4345,17.8344,1,2,33
"EMPEdist",16.0501,14.6497,3,3,33
"ADPEdist",8.3713,3.1847,8,4,33
"PredictabilityOct5Years",8.1747,14.0127,4,5,33
"distToShore",7.2421,15.9236,2,6,33
"EMPEabund",4.8654,6.3694,7,7,33
"distNearestIceEdge",2.7728,3.1847,9,8,33
"meanslope",1.9078,8.2803,6,9,33
"fastIceRatio",1.5774,0,16,10,33
"meanbathy",1.5658,1.9108,11,11,33
"PredictabilityDec5Years",1.1253,0,15,12,33
"InTrough",0.9445,1.9108,10,13,33
"glacierdist",0.2495,0,17,14,33
"ADPEabund",0,0,12,15,33
"DecemberIcePresence",0,0,13,16,33
"Persistence2Years",0,0,14,17,33
